id;spriteSheetAddress;spriteWidth;spriteHeight;frames;autoUpdate;looping
playerInPlatformHitDown;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformHitLeft;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformHitUp;assets/graphics/player/player.png;16;16;[6/0/10000];true;true

playerInPlatformHoldingItemRight;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformHoldingItemDown;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformHoldingItemLeft;assets/graphics/player/player.png;16;16;[6/0/10000];true;true
playerInPlatformHoldingItemUp;assets/graphics/player/player.png;16;16;[6/0/10000];true;true

playerOnBoatInanimatedRight;assets/graphics/player/boat.png;16;16;[0/0/250,1/0/250,2/0/250,1/0/250];true;true
playerOnBoatInanimatedDown;assets/graphics/player/boat.png;16;16;[0/1/250,1/1/250,2/1/250,1/1/250];true;true
playerOnBoatInanimatedLeft;assets/graphics/player/boat.png;16;16;[0/2/250,1/2/250,2/2/250,1/2/250];true;true
playerOnBoatInanimatedUp;assets/graphics/player/boat.png;16;16;[0/3/250,1/3/250,2/3/250,1/3/250];true;true

playerOnBoatAnimatedRight;assets/graphics/player/boat.png;16;16;[0/4/100,1/4/100,2/4/100,1/4/100];true;true
playerOnBoatAnimatedDown;assets/graphics/player/boat.png;16;16;[0/5/100,1/5/100,2/5/100,1/5/100];true;true
playerOnBoatAnimatedLeft;assets/graphics/player/boat.png;16;16;[0/6/100,1/6/100,2/6/100,1/6/100];true;true
playerOnBoatAnimatedUp;assets/graphics/player/boat.png;16;16;[0/7/100,1/7/100,2/7/100,1/7/100];true;true

playerOnBoatHitRight;assets/graphics/player/boat.png;16;16;[0/0/250,1/0/250,2/0/250,1/0/250];true;true
playerOnBoatHitDown;assets/graphics/player/boat.png;16;16;[0/1/250,1/1/250,2/1/250,1/1/250];true;true
playerOnBoatHitLeft;assets/graphics/player/boat.png;16;16;[0/2/250,1/2/250,2/2/250,1/2/250];true;true
playerOnBoatHitUp;assets/graphics/player/boat.png;16;16;[0/3/250,1/3/250,2/3/250,1/3/250];true;true

playerOnBoatHoldingItemRight;assets/graphics/player/boat.png;16;16;[0/0/250,1/0/250,2/0/250,1/0/250];true;true
playerOnBoatHoldingItemDown;assets/graphics/player/boat.png;16;16;[0/1/250,1/1/250,2/1/250,1/1/250];true;true
playerOnBoatHoldingItemLeft;assets/graphics/player/boat.png;16;16;[0/2/250,1/2/250,2/2/250,1/2/250];true;true
playerOnBoatHoldingItemUp;assets/graphics/player/boat.png;16;16;[0/3/250,1/3/250,2/3/250,1/3/250];true;true

playerInGrassInanimatedRight;assets/graphics/player/player.png;16;16;[0/8/2000,1/8/300,0/8/2000,1/8/300,0/8/2000,1/8/300,0/8/2000,1/8/300];true;true
playerInGrassInanimatedDown;assets/graphics/player/player.png;16;16;[0/9/2000,1/9/300,0/9/2000,1/9/300,0/9/2000,1/9/300,0/9/2000,1/9/300];true;true
playerInGrassInanimatedLeft;assets/graphics/player/player.png;16;16;[0/10/2000,1/10/300,0/10/2000,1/10/300,0/10/2000,1/10/300,0/10/2000,1/10/300];true;true
playerInGrassInanimatedUp;assets/graphics/player/player.png;16;16;[0/11/2000,1/11/300,0/11/2000,1/11/300,0/11/2000,1/11/300,0/11/2000,1/11/300];true;true

playerInGrassAnimatedRight;assets/graphics/player/player.png;16;16;[0/12/50,1/12/50,2/12/50,1/12/50];true;true
playerInGrassAnimatedDown;assets/graphics/player/player.png;16;16;[0/13/50,1/13/50,2/13/50,1/13/50];true;true
playerInGrassAnimatedLeft;assets/graphics/player/player.png;16;16;[0/14/50,1/14/50,2/14/50,1/14/50];true;true
playerInGrassAnimatedUp;assets/graphics/player/player.png;16;16;[0/15/50,1/15/50,2/15/50,1/15/50];true;true

playerInGrassHitRight;assets/graphics/player/player.png;16;16;[3/0/25,4/0/25,5/0/25];true;true
playerInGrassHitDown;assets/graphics/player/player.png;16;16;[3/1/25,4/1/25,5/1/25];true;true
playerInGrassHitLeft;assets/graphics/player/player.png;16;16;[3/2/25,4/2/25,5/2/25];true;true
playerInGrassHitUp;assets/graphics/player/player.png;16;16;[3/3/25,4/3/25,5/3/25];true;true

playerInGrassHoldingItemRight;assets/graphics/player/player.png;16;16;[0/8/2000,1/8/300,0/8/2000,1/8/300,0/8/2000,1/8/300,0/8/2000,1/8/300];true;true
playerInGrassHoldingItemDown;assets/graphics/player/player.png;16;16;[6/9/2000];true;true
playerInGrassHoldingItemLeft;assets/graphics/player/player.png;16;16;[0/10/2000,1/10/300,0/10/2000,1/10/300,0/10/2000,1/10/300,0/10/2000,1/10/300];true;true
playerInGrassHoldingItemUp;assets/graphics/player/player.png;16;16;[0/11/2000,1/11/300,0/11/2000,1/11/300,0/11/2000,1/11/300,0/11/2000,1/11/300];true;true

playerTeleportingInanimatedRight;assets/graphics/player/player.png;16;16;[3/4/250];true;true
playerTeleportingInanimatedDown;assets/graphics/player/player.png;16;16;[3/5/250];true;true
playerTeleportingInanimatedLeft;assets/graphics/player/player.png;16;16;[3/6/250];true;true
playerTeleportingInanimatedUp;assets/graphics/player/player.png;16;16;[3/7/250];true;true

playerTeleportingAnimatedRight;assets/graphics/player/player.png;16;16;[3/4/250];true;true
playerTeleportingAnimatedDown;assets/graphics/player/player.png;16;16;[3/5/250];true;true
playerTeleportingAnimatedLeft;assets/graphics/player/player.png;16;16;[3/6/250];true;true
playerTeleportingAnimatedUp;assets/graphics/player/player.png;16;16;[3/7/250];true;true

playerTeleportingHitRight;assets/graphics/player/player.png;16;16;[3/4/250];true;true
playerTeleportingHitDown;assets/graphics/player/player.png;16;16;[3/5/250];true;true
playerTeleportingHitLeft;assets/graphics/player/player.png;16;16;[3/6/250];true;true
playerTeleportingHitUp;assets/graphics/player/player.png;16;16;[3/7/250];true;true

playerTeleportingHoldingItemRight;assets/graphics/player/player.png;16;16;[3/4/250];true;true
playerTeleportingHoldingItemDown;assets/graphics/player/player.png;16;16;[3/5/250];true;true
playerTeleportingHoldingItemLeft;assets/graphics/player/player.png;16;16;[3/6/250];true;true
playerTeleportingHoldingItemUp;assets/graphics/player/player.png;16;16;[3/7/250];true;true

playerNoFeetInanimatedRight;assets/graphics/player/player.png;16;16;[0/16/2000,1/16/300,0/16/2000,1/16/300,0/16/2000,1/16/300,0/16/2000,1/16/300];true;true
playerNoFeetInanimatedDown;assets/graphics/player/player.png;16;16;[0/17/2000,1/17/300,0/17/2000,1/17/300,0/17/2000,1/17/300,0/17/2000,1/17/300];true;true
playerNoFeetInanimatedLeft;assets/graphics/player/player.png;16;16;[0/18/2000,1/18/300,0/18/2000,1/18/300,0/18/2000,1/18/300,0/18/2000,1/18/300];true;true
playerNoFeetInanimatedUp;assets/graphics/player/player.png;16;16;[0/19/2000,1/19/300,0/19/2000,1/19/300,0/19/2000,1/19/300,0/19/2000,1/19/300];true;true

playerNoFeetAnimatedRight;assets/graphics/player/player.png;16;16;[0/20/50,1/20/50,2/20/50,1/20/50];true;true
playerNoFeetAnimatedDown;assets/graphics/player/player.png;16;16;[0/21/50,1/21/50,2/21/50,1/21/50];true;true
playerNoFeetAnimatedLeft;assets/graphics/player/player.png;16;16;[0/22/50,1/22/50,2/22/50,1/22/50];true;true
playerNoFeetAnimatedUp;assets/graphics/player/player.png;16;16;[0/23/50,1/23/50,2/23/50,1/23/50];true;true

playerNoFeetHitRight;assets/graphics/player/player.png;16;16;[3/16/25,4/16/25,5/16/25];true;true
playerNoFeetHitDown;assets/graphics/player/player.png;16;16;[3/17/25,4/17/25,5/17/25];true;true
playerNoFeetHitLeft;assets/graphics/player/player.png;16;16;[3/18/25,4/18/25,5/18/25];true;true
playerNoFeetHitUp;assets/graphics/player/player.png;16;16;[3/19/25,4/19/25,5/19/25];true;true

playerNoFeetHoldingItemRight;assets/graphics/player/player.png;16;16;[0/16/2000,1/16/300,0/16/2000,1/16/300,0/16/2000,1/16/300,0/16/2000,1/16/300];true;true
playerNoFeetHoldingItemDown;assets/graphics/player/player.png;16;16;[6/17/2000];true;true
playerNoFeetHoldingItemLeft;assets/graphics/player/player.png;16;16;[0/18/2000,1/18/300,0/18/2000,1/18/300,0/18/2000,1/18/300,0/18/2000,1/18/300];true;true
playerNoFeetHoldingItemUp;assets/graphics/player/player.png;16;16;[0/19/2000,1/19/300,0/19/2000,1/19/300,0/19/2000,1/19/300,0/19/2000,1/19/300];true;true

playerOnSkiInanimatedRight;assets/graphics/player/player.png;16;16;[0/24/2000,1/24/300,0/24/2000,1/24/300,0/24/2000,1/24/300,0/24/2000,1/24/300];true;true
playerOnSkiInanimatedDown;assets/graphics/player/player.png;16;16;[0/25/2000,1/25/300,0/25/2000,1/25/300,0/25/2000,1/25/300,0/25/2000,1/25/300];true;true
playerOnSkiInanimatedLeft;assets/graphics/player/player.png;16;16;[0/26/2000,1/26/300,0/26/2000,1/26/300,0/26/2000,1/26/300,0/26/2000,1/26/300];true;true
playerOnSkiInanimatedUp;assets/graphics/player/player.png;16;16;[0/27/2000,1/27/300,0/27/2000,1/27/300,0/27/2000,1/27/300,0/27/2000,1/27/300];true;true

playerOnSkiAnimatedRight;assets/graphics/player/player.png;16;16;[0/28/50,1/28/50,2/28/50,1/28/50];true;true
playerOnSkiAnimatedDown;assets/graphics/player/player.png;16;16;[0/29/50,1/29/50,2/29/50,1/29/50];true;true
playerOnSkiAnimatedLeft;assets/graphics/player/player.png;16;16;[0/30/50,1/30/50,2/30/50,1/30/50];true;true
playerOnSkiAnimatedUp;assets/graphics/player/player.png;16;16;[0/31/50,1/31/50,2/31/50,1/31/50];true;true

playerOnSkiHitRight;assets/graphics/player/player.png;16;16;[3/24/25,4/24/25,5/24/25];true;true
playerOnSkiHitDown;assets/graphics/player/player.png;16;16;[3/25/25,4/25/25,5/25/25];true;true
playerOnSkiHitLeft;assets/graphics/player/player.png;16;16;[3/26/25,4/26/25,5/26/25];true;true
playerOnSkiHitUp;assets/graphics/player/player.png;16;16;[3/27/25,4/27/25,5/27/25];true;true

playerOnSkiHoldingItemRight;assets/graphics/player/player.png;16;16;[0/24/2000,1/24/300,0/24/2000,1/24/300,0/24/2000,1/24/300,0/24/2000,1/24/300];true;true
playerOnSkiHoldingItemDown;assets/graphics/player/player.png;16;16;[6/25/2000];true;true
playerOnSkiHoldingItemLeft;assets/graphics/player/player.png;16;16;[0/26/2000,1/26/300,0/26/2000,1/26/300,0/26/2000,1/26/300,0/26/2000,1/26/300];true;true
playerOnSkiHoldingItemUp;assets/graphics/player/player.png;16;16;[0/27/2000,1/27/300,0/27/2000,1/27/300,0/27/2000,1/27/300,0/27/2000,1/27/300];true;true













vehicleRight;assets/graphics/items/vehicle.png;16;16;[0/0/500,1/0/500];true;true
vehicleDown;assets/graphics/items/vehicle.png;16;16;[0/1/500,1/1/500];true;true
vehicleLeft;assets/graphics/items/vehicle.png;16;16;[0/2/500,1/2/500];true;true
vehicleUp;assets/graphics/items/vehicle.png;16;16;[0/3/500,1/3/500];true;true

platformRight;assets/graphics/items/platform_basic_horizontal.png;146;112;[0/0/10000];true;true
platformDown;assets/graphics/items/platform_basic_vertical.png;146;112;[0/0/10000];true;true
platformLeft;assets/graphics/items/platform_basic_horizontal.png;146;112;[0/0/10000];true;true
platformUp;assets/graphics/items/platform_basic_vertical.png;146;112;[0/0/10000];true;true


infobit;assets/graphics/items/infobits.png;16;16;[0/0/200,1/0/200,2/0/200,3/0/200];true;true
infobyte;assets/graphics/items/infobits.png;16;16;[0/1/200,1/1/200,2/1/200,3/1/200];true;true
infobank;assets/graphics/items/infobits.png;16;16;[0/2/200,1/2/200,2/2/200,3/2/200];true;true

insight;assets/graphics/items/insight.png;16;16;[0/0/200,1/0/200,2/0/200,3/0/200,2/0/200,1/0/200];true;true

cognition;assets/graphics/items/cognition.png;16;16;[0/0/200,1/0/200,2/0/200,1/0/200];true;true

software;assets/graphics/items/software.png;16;16;[0/0/200,1/0/200,2/0/200,3/0/200,2/0/200,1/0/200];true;true
chart;assets/graphics/items/map.png;16;16;[0/0/200,1/0/200,2/0/200,1/0/200];true;true


supplies;assets/graphics/items/supplies.png;16;16;[0/0/1000,1/0/1000,2/0/1000,3/0/1000];true;true
firstaidkit;assets/graphics/items/medipack.png;16;16;[0/1/3000];true;true
medipack;assets/graphics/items/medipack.png;16;16;[0/0/3000,1/0/100,2/0/100,3/0/100,4/0/100,3/0/100,4/0/100,3/0/100,4/0/100,3/0/100,4/0/100];true;true
soulessence;assets/graphics/items/soulessence.png;16;16;[0/0/200,1/0/200,2/0/200,1/0/200];true;true
armor;assets/graphics/items/armor.png;16;16;[0/0/200,1/0/200,2/0/200,3/0/200,4/0/200,3/0/200,2/0/200,1/0/200];true;true
bottle;assets/graphics/items/bottle.png;16;16;[0/0/200,1/0/200,2/0/200,1/0/200];true;true
foodcompartment;assets/graphics/items/foodcompartment.png;16;16;[0/0/200,1/0/200,2/0/200,1/0/200];true;true
fueltank;assets/graphics/items/fueltank.png;16;16;[0/0/200,1/0/200,2/0/200,1/0/200];true;true

collectibleItemTool;assets/graphics/items/collectible_tool.png;16;16;[0/0/1000,1/0/100,2/0/100,3/0/100,4/0/100];true;true

collectibleItemLogCard;assets/graphics/items/logcard.png;16;16;[0/0/250,1/0/250,2/0/250,1/0/250];true;true

fire;assets/graphics/effects/fire.png;16;32;[0/0/100,1/0/100,2/0/100,1/0/100];true;true
smoke;assets/graphics/effects/smoke.png;32;16;[0/0/300,0/1/300,0/2/300];true;true
electricity;assets/graphics/effects/electricity.png;80;48;[6/0/100,7/0/100,6/1/100,7/1/100,6/2/100,7/2/100,6/3/100,7/3/100,6/4/100,7/4/100,6/5/100,7/5/100,0/0/100,1/0/100,0/1/100,1/1/100,0/2/100,1/2/100,0/3/100,1/3/100,0/4/100,1/4/100,0/5/100,1/5/100,4/0/100,5/0/100,4/1/100,5/1/100,4/2/100,5/2/100,4/3/100,5/3/100,4/4/100,5/4/100,4/5/100,5/5/100,0/0/100,1/0/100,0/1/100,1/1/100,0/2/100,1/2/100,0/3/100,1/3/100,0/4/100,1/4/100,0/5/100,1/5/100,2/0/100,3/0/100,2/1/100,3/1/100,2/2/100,3/2/100,2/3/100,3/3/100,2/4/100,3/4/100,2/5/100,3/5/100];true;true
energywall;assets/graphics/effects/energyblock.png;16;32;[0/0/100,1/0/100,2/0/100,3/0/100,2/0/100,1/0/100];true;true

birds;assets/graphics/decorations/birds.png;96;96;[0/0/150,1/0/150,2/0/150];true;true

inventoryItemKeyRing;assets/graphics/items/inventory_items.png;16;16;[3/1/150];true;true
inventoryItemBoat;assets/graphics/items/inventory_items.png;16;16;[0/0/150];true;true
inventoryItemDynamite;assets/graphics/items/inventory_items.png;16;16;[5/0/150];true;true
inventoryItemVehicle;assets/graphics/items/inventory_items.png;16;16;[1/0/150];true;true
inventoryItemPlatform;assets/graphics/items/inventory_items.png;16;16;[1/0/150];true;true
inventoryItemFuel;assets/graphics/items/inventory_items.png;16;16;[2/0/150];true;true
inventoryItemCosmodog;assets/graphics/items/inventory_items.png;16;16;[3/0/150];true;true
inventoryItemSoftware;assets/graphics/items/software.png;16;16;[0/0/150];true;true
inventoryItemChart;assets/graphics/items/map.png;16;16;[0/0/200];true;true
inventoryItemGeigerZaehler;assets/graphics/items/inventory_items.png;16;16;[6/0/150];true;true
inventoryItemRadioactiveSuit;assets/graphics/items/inventory_items.png;16;16;[1/1/150];true;true
inventoryItemSupplyTracker;assets/graphics/items/inventory_items.png;16;16;[7/0/150];true;true
inventoryItemBinoculars;assets/graphics/items/inventory_items.png;16;16;[8/0/150];true;true
inventoryItemSki;assets/graphics/items/inventory_items.png;16;16;[9/0/150];true;true
inventoryItemJacket;assets/graphics/items/inventory_items.png;16;16;[2/1/150];true;true
inventoryItemPick;assets/graphics/items/pick_machete_axe.png;16;16;[0/0/150];true;true
inventoryItemMachete;assets/graphics/items/pick_machete_axe.png;16;16;[1/0/150];true;true
inventoryItemArcheologistsJournal;assets/graphics/items/archeologists_journal.png;16;16;[0/0/150];true;true
inventoryItemWeaponFirmwareUpgrade;assets/graphics/items/firmware.png;16;16;[0/0/150];true;true
inventoryItemNutrients;assets/graphics/items/nutrients.png;16;16;[0/0/150];true;true
inventoryItemAxe;assets/graphics/items/pick_machete_axe.png;16;16;[2/0/150];true;true
inventoryItemMineDetector;assets/graphics/items/MineDetector.png;16;16;[0/0/10000];true;true
inventoryItemMineDeactivationCodes;assets/graphics/items/MineDetector.png;16;16;[1/0/10000];true;true
inventoryItemAntidote;assets/graphics/items/antidote.png;16;16;[0/0/10000];true;true
inventoryItemPortalGun;assets/graphics/items/inventory_items.png;16;16;[4/1/10000];true;true
inventoryItemFlashlight;assets/graphics/items/inventory_items.png;16;16;[5/1/10000];true;true
inventoryItemNightVisionGoggles;assets/graphics/items/inventory_items.png;16;16;[6/1/10000];true;true
inventoryItemMotionTracker;assets/graphics/items/inventory_items.png;16;16;[7/1/10000];true;true

inventoryItemBackground;assets/graphics/items/inventory_items.png;16;16;[1/9/75,2/9/75,3/9/75,4/9/75,5/9/75,6/9/75,7/9/75,8/9/75,0/9/3000];true;true

lifeUnit;assets/graphics/ui/various_icons.png;16;16;[1/0/75,2/0/75,3/0/75,4/0/75,0/0/2000];true;true
emptyLifeUnit;assets/graphics/ui/various_icons.png;16;16;[0/1/10000];true;true

lifePack;assets/graphics/ui/various_icons.png;16;16;[5/2/75,6/2/75,7/2/75,8/2/75,5/2/2000];true;true
emptyLifePack;assets/graphics/ui/various_icons.png;16;16;[0/3/10000];true;true

robustnessUnit;assets/graphics/ui/various_icons.png;16;16;[5/0/75,6/0/75,7/0/75,8/0/75,5/0/2000];true;true
emptyRobustnessUnit;assets/graphics/ui/various_icons.png;16;16;[5/1/10000];true;true

robustnessPack;assets/graphics/ui/various_icons.png;16;16;[0/2/75,1/2/75,2/2/75,3/2/75,0/2/2000];true;true
emptyRobustnessPack;assets/graphics/ui/various_icons.png;16;16;[0/3/10000];true;true


foodBar;assets/graphics/ui/various_icons.png;16;16;[0/4/10000];true;true
waterBar;assets/graphics/ui/various_icons.png;16;16;[0/5/10000];true;true
fixedResourceBar;assets/graphics/ui/various_icons.png;16;16;[0/3/10000];true;true
lifeBar;assets/graphics/ui/various_icons.png;16;16;[0/6/10000];true;true
robustnessBar;assets/graphics/ui/various_icons.png;16;16;[0/7/10000];true;true
fuelBar;assets/graphics/ui/various_icons.png;16;16;[0/8/10000];true;true



nextDialogBox;assets/graphics/ui/interface.png;16;16;[0/0/150,1/0/150,2/0/150,1/0/150];true;true
closeDialogBox;assets/graphics/ui/interface.png;16;16;[0/1/150,1/1/150,2/1/150,1/1/150];true;true

enemyDefaultTankInanimatedRight;assets/graphics/enemies/enemy_tank.png;16;16;[0/0/500,1/0/500,2/0/500,3/0/500];true;true
enemyDefaultTankInanimatedDown;assets/graphics/enemies/enemy_tank.png;16;16;[0/1/500,1/1/500,2/1/500,3/1/500];true;true
enemyDefaultTankInanimatedLeft;assets/graphics/enemies/enemy_tank.png;16;16;[0/2/500,1/2/500,2/2/500,3/2/500];true;true
enemyDefaultTankInanimatedUp;assets/graphics/enemies/enemy_tank.png;16;16;[0/3/500,1/3/500,2/3/500,3/3/500];true;true

enemyDefaultTankAnimatedRight;assets/graphics/enemies/enemy_tank.png;16;16;[4/0/50,5/0/50,6/0/50,7/0/50];true;true
enemyDefaultTankAnimatedDown;assets/graphics/enemies/enemy_tank.png;16;16;[4/1/50,5/1/50,6/1/50,7/1/50];true;true
enemyDefaultTankAnimatedLeft;assets/graphics/enemies/enemy_tank.png;16;16;[4/2/50,5/2/50,6/2/50,7/2/50];true;true
enemyDefaultTankAnimatedUp;assets/graphics/enemies/enemy_tank.png;16;16;[4/3/50,5/3/50,6/3/50,7/3/50];true;true

enemyDefaultTankShootingRight;assets/graphics/enemies/enemy_tank.png;16;16;[0/4/50,1/4/50,2/4/50,3/4/50];true;true
enemyDefaultTankShootingDown;assets/graphics/enemies/enemy_tank.png;16;16;[0/5/50,1/5/50,2/5/50,3/5/50];true;true
enemyDefaultTankShootingLeft;assets/graphics/enemies/enemy_tank.png;16;16;[0/6/50,1/6/50,2/6/50,3/6/50];true;true
enemyDefaultTankShootingUp;assets/graphics/enemies/enemy_tank.png;16;16;[0/7/50,1/7/50,2/7/50,3/7/50];true;true

enemyDefaultTankExplodingRight;assets/graphics/enemies/enemy_tank.png;16;16;[4/4/300,5/4/300,6/4/300,7/4/300];false;false
enemyDefaultTankExplodingDown;assets/graphics/enemies/enemy_tank.png;16;16;[4/5/300,5/5/300,6/5/300,7/5/300];false;false
enemyDefaultTankExplodingLeft;assets/graphics/enemies/enemy_tank.png;16;16;[4/6/300,5/6/300,6/6/300,7/6/300];false;false
enemyDefaultTankExplodingUp;assets/graphics/enemies/enemy_tank.png;16;16;[4/7/300,5/7/300,6/7/300,7/7/300];false;false



enemyInGrassTankInanimatedRight;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[0/0/500,1/0/500,2/0/500,3/0/500];true;true
enemyInGrassTankInanimatedDown;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[0/1/500,1/1/500,2/1/500,3/1/500];true;true
enemyInGrassTankInanimatedLeft;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[0/2/500,1/2/500,2/2/500,3/2/500];true;true
enemyInGrassTankInanimatedUp;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[0/3/500,1/3/500,2/3/500,3/3/500];true;true

enemyInGrassTankAnimatedRight;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[4/0/50,5/0/50,6/0/50,7/0/50];true;true
enemyInGrassTankAnimatedDown;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[4/1/50,5/1/50,6/1/50,7/1/50];true;true
enemyInGrassTankAnimatedLeft;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[4/2/50,5/2/50,6/2/50,7/2/50];true;true
enemyInGrassTankAnimatedUp;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[4/3/50,5/3/50,6/3/50,7/3/50];true;true

enemyInGrassTankShootingRight;assets/graphics/enemies/enemy_tank_in_high_grass.png;16;16;[0/4/50,1/4/50,2/4/50,3/4/50];true;true
